,IFRS(별도),2021/12,2022/12,2023/12,2024/09,전년동기,전년동기(%)
0,순이자손익,7330.0,5958.0,6792.0,5049.0,4937.0,2.3
1,순수수료손익,10884.0,7573.0,7892.0,7068.0,6001.0,17.8
2,금융상품관련손익,1180.0,-1341.0,1220.0,1532.0,124.0,1134.6
3,위험회피회계파생상품관련손익,,,,,,
4,외환거래(환율변동)손익,1779.0,706.0,618.0,781.0,1307.0,-40.2
5,금융자산관련손익,-8.0,-113.0,-873.0,-324.0,-345.0,적자지속
6,기타영업손익,675.0,468.0,-9.0,544.0,220.0,147.1
7,순영업수익,21840.0,13251.0,15640.0,14650.0,12244.0,19.7
8,판매비와관리비,9780.0,7749.0,8740.0,7601.0,6525.0,16.5
9,영업이익,12059.0,5502.0,6899.0,7049.0,5719.0,23.3
10,영업외수익계산에 참여한 계정 펼치기,130.0,121.0,262.0,411.0,73.0,464.9
11,영업외비용계산에 참여한 계정 펼치기,827.0,820.0,1299.0,540.0,1063.0,-49.2
12,세전계속사업이익,11362.0,4803.0,5863.0,6921.0,4729.0,46.3
13,법인세비용,3427.0,1418.0,1513.0,1827.0,1096.0,66.6
14,계속영업이익,7935.0,3385.0,4350.0,5094.0,3632.0,40.2
15,중단영업이익,,,,,,
16,당기순이익,7935.0,3385.0,4350.0,5094.0,3632.0,40.2
